Step,Val,Train
0,17.82588005,3.391787767
1,3.038571119,2.989355803
2,3.031109333,2.927251577
3,3.07808876,2.885442972
4,3.027987719,2.85449934
5,3.023057461,2.831543922
6,2.970526934,2.817329407
7,2.982198,2.805609465
8,3.000952005,2.792574406
9,2.9585042,2.782012939
10,2.984864712,2.773648739
11,3.002334595,2.764647484
12,3.03586936,2.758232832
13,2.97185111,2.752218246
14,2.975380659,2.747197151
15,3.004615545,2.741329193
16,2.958718538,2.736279011
17,2.974654198,2.731156588
18,2.963414431,2.726270676
19,2.974885464,2.721467733
20,2.906469345,2.717249632
21,2.943114519,2.713009119
22,3.00767827,2.709995508
23,2.95074296,2.704924822
24,2.953691483,2.70245409
25,2.963567019,2.699676991
26,2.958963394,2.697679758
27,3.026277065,2.694186449
28,2.996114254,2.690522671
29,2.955528259,2.687068939
30,2.957795382,2.684025288
31,2.969295263,2.682146788
32,2.958814621,2.677960873
33,2.97380805,2.675544977
34,2.986113548,2.674117327
35,3.004706621,2.670769215
36,2.976696014,2.668899775
37,3.024208069,2.664568186
38,3.031293869,2.664914608
39,3.031473398,2.660548449
40,2.986887932,2.658900499
41,2.933406115,2.657243729
42,3.03773427,2.653461695
43,2.980103254,2.652518034
44,3.012280941,2.652411938
45,2.997835398,2.648472309
46,2.990818024,2.64725256
47,3.003329992,2.64474225
48,3.021723747,2.64296627
49,2.983692169,2.642056942
50,2.974684954,2.638516903
51,3.016134977,2.638520241
52,3.025239944,2.635422945
53,3.052832842,2.635723829
54,3.048766375,2.632848978
55,3.036425352,2.63023138
56,3.03801322,2.629498005
57,3.012644768,2.627287149
58,3.044382334,2.625338078
59,3.012565374,2.623899698
60,3.020568132,2.62303257
61,3.03555274,2.620913029
